filename,group,loop,root_motion,tags,orig_path
A_Idle_Menacing01_RootMotion_Sword.fbx,sword_idle,TRUE,TRUE,,Sword Combat Source Files/Animations/Idle/Menacing01/A_Idle_Menacing01_RootMotion_Sword.fbx
A_Idle_Menacing01_Sword.fbx,sword_idle,TRUE,FALSE,,Sword Combat Source Files/Animations/Idle/Menacing01/A_Idle_Menacing01_Sword.fbx
A_Idle_Menacing01_Begin_Sword.fbx,sword_idle,FALSE,FALSE,,Sword Combat Source Files/Animations/Idle/Menacing01/A_Idle_Menacing01_Begin_Sword.fbx
A_Idle_Menacing01_End_RootMotion_Sword.fbx,sword_idle,FALSE,TRUE,,Sword Combat Source Files/Animations/Idle/Menacing01/A_Idle_Menacing01_End_RootMotion_Sword.fbx
A_Idle_Menacing01_Begin_RootMotion_Sword.fbx,sword_idle,FALSE,TRUE,,Sword Combat Source Files/Animations/Idle/Menacing01/A_Idle_Menacing01_Begin_RootMotion_Sword.fbx
A_Idle_Menacing01_End_Sword.fbx,sword_idle,FALSE,FALSE,,Sword Combat Source Files/Animations/Idle/Menacing01/A_Idle_Menacing01_End_Sword.fbx
A_Idle_Flourish01_Sword.fbx,sword_idle,TRUE,FALSE,,Sword Combat Source Files/Animations/Idle/Fidgets/A_Idle_Flourish01_Sword.fbx
A_Idle_EnergeticStance01_Sword.fbx,sword_idle,TRUE,FALSE,,Sword Combat Source Files/Animations/Idle/Fidgets/A_Idle_EnergeticStance01_Sword.fbx
A_Draw_Sword_Femn.fbx,sword_idle,FALSE,FALSE,,Sword Combat Source Files/Animations/Idle/Sheathed/A_Draw_Sword_Femn.fbx
A_Draw_Sword_Masc.fbx,sword_idle,FALSE,FALSE,,Sword Combat Source Files/Animations/Idle/Sheathed/A_Draw_Sword_Masc.fbx
A_Idle_Sheathed_Sword_Masc.fbx,sword_idle,TRUE,FALSE,,Sword Combat Source Files/Animations/Idle/Sheathed/A_Idle_Sheathed_Sword_Masc.fbx
A_Sheathe_Sword_Masc.fbx,sword_idle,FALSE,FALSE,,Sword Combat Source Files/Animations/Idle/Sheathed/A_Sheathe_Sword_Masc.fbx
A_Sheathe_Sword_Femn.fbx,sword_idle,FALSE,FALSE,,Sword Combat Source Files/Animations/Idle/Sheathed/A_Sheathe_Sword_Femn.fbx
A_Idle_Sheathed_Sword_Femn.fbx,sword_idle,TRUE,FALSE,,Sword Combat Source Files/Animations/Idle/Sheathed/A_Idle_Sheathed_Sword_Femn.fbx
A_Idle_Base_Sword.fbx,sword_idle,TRUE,FALSE,,Sword Combat Source Files/Animations/Idle/Base/A_Idle_Base_Sword.fbx
A_Attack_HeavyFlourish01_ReturnToIdle_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/HeavyFlourish01/A_Attack_HeavyFlourish01_ReturnToIdle_RootMotion_Sword.fbx
A_Attack_HeavyFlourish01_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/HeavyFlourish01/A_Attack_HeavyFlourish01_Sword.fbx
A_Attack_HeavyFlourish01_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/HeavyFlourish01/A_Attack_HeavyFlourish01_RootMotion_Sword.fbx
A_Attack_HeavyFlourish01_ReturnToIdle_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/HeavyFlourish01/A_Attack_HeavyFlourish01_ReturnToIdle_Sword.fbx
A_Attack_LightLeaping01_ReturnToIdle_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/LightLeaping01/A_Attack_LightLeaping01_ReturnToIdle_Sword.fbx
A_Attack_LightLeaping01_RootMotionHorizontal_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/LightLeaping01/A_Attack_LightLeaping01_RootMotionHorizontal_Sword.fbx
A_Attack_LightLeaping01_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/LightLeaping01/A_Attack_LightLeaping01_RootMotion_Sword.fbx
A_Attack_LightLeaping01_ReturnToIdle_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/LightLeaping01/A_Attack_LightLeaping01_ReturnToIdle_RootMotion_Sword.fbx
A_Attack_LightLeaping01_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/LightLeaping01/A_Attack_LightLeaping01_Sword.fbx
A_Attack_LightLeaping01_RootMotionVertical_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/LightLeaping01/A_Attack_LightLeaping01_RootMotionVertical_Sword.fbx
A_Attack_HeavyStab01_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/HeavyStab01/A_Attack_HeavyStab01_RootMotion_Sword.fbx
A_Attack_HeavyStab01_ReturnToIdle_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/HeavyStab01/A_Attack_HeavyStab01_ReturnToIdle_RootMotion_Sword.fbx
A_Attack_HeavyStab01_ReturnToIdle_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/HeavyStab01/A_Attack_HeavyStab01_ReturnToIdle_Sword.fbx
A_Attack_HeavyStab01_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/HeavyStab01/A_Attack_HeavyStab01_Sword.fbx
A_Attack_LightCombo01A_ReturnToIdle_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/LightCombo01/A_Attack_LightCombo01A_ReturnToIdle_Sword.fbx
A_Attack_LightCombo01C_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/LightCombo01/A_Attack_LightCombo01C_RootMotion_Sword.fbx
A_Attack_LightCombo01B_ReturnToIdle_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/LightCombo01/A_Attack_LightCombo01B_ReturnToIdle_Sword.fbx
A_Attack_LightCombo01A_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/LightCombo01/A_Attack_LightCombo01A_Sword.fbx
A_Attack_LightCombo01B_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/LightCombo01/A_Attack_LightCombo01B_RootMotion_Sword.fbx
A_Attack_LightCombo01C_ReturnToIdle_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/LightCombo01/A_Attack_LightCombo01C_ReturnToIdle_Sword.fbx
A_Attack_LightCombo01C_ReturnToIdle_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/LightCombo01/A_Attack_LightCombo01C_ReturnToIdle_RootMotion_Sword.fbx
A_Attack_LightCombo01A_ReturnToIdle_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/LightCombo01/A_Attack_LightCombo01A_ReturnToIdle_RootMotion_Sword.fbx
A_Attack_LightCombo01A_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/LightCombo01/A_Attack_LightCombo01A_RootMotion_Sword.fbx
A_Attack_LightCombo01C_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/LightCombo01/A_Attack_LightCombo01C_Sword.fbx
A_Attack_LightCombo01B_ReturnToIdle_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/LightCombo01/A_Attack_LightCombo01B_ReturnToIdle_RootMotion_Sword.fbx
A_Attack_LightCombo01B_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/LightCombo01/A_Attack_LightCombo01B_Sword.fbx
A_Attack_LightFencing01_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/LightFencing01/A_Attack_LightFencing01_RootMotion_Sword.fbx
A_Attack_LightFencing01_ReturnToIdle_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/LightFencing01/A_Attack_LightFencing01_ReturnToIdle_Sword.fbx
A_Attack_LightFencing01_ReturnToIdle_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/LightFencing01/A_Attack_LightFencing01_ReturnToIdle_RootMotion_Sword.fbx
A_Attack_LightFencing01_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/LightFencing01/A_Attack_LightFencing01_Sword.fbx
A_Attack_HeavyCombo01B_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/HeavyCombo01/A_Attack_HeavyCombo01B_Sword.fbx
A_Attack_HeavyCombo01B_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/HeavyCombo01/A_Attack_HeavyCombo01B_RootMotion_Sword.fbx
A_Attack_HeavyCombo01C_ReturnToIdle_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/HeavyCombo01/A_Attack_HeavyCombo01C_ReturnToIdle_RootMotion_Sword.fbx
A_Attack_HeavyCombo01A_ReturnToIdle_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/HeavyCombo01/A_Attack_HeavyCombo01A_ReturnToIdle_RootMotion_Sword.fbx
A_Attack_HeavyCombo01C_ReturnToIdle_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/HeavyCombo01/A_Attack_HeavyCombo01C_ReturnToIdle_Sword.fbx
A_Attack_HeavyCombo01C_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/HeavyCombo01/A_Attack_HeavyCombo01C_RootMotion_Sword.fbx
A_Attack_HeavyCombo01C_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/HeavyCombo01/A_Attack_HeavyCombo01C_Sword.fbx
A_Attack_HeavyCombo01B_ReturnToIdle_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/HeavyCombo01/A_Attack_HeavyCombo01B_ReturnToIdle_RootMotion_Sword.fbx
A_Attack_HeavyCombo01B_ReturnToIdle_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/HeavyCombo01/A_Attack_HeavyCombo01B_ReturnToIdle_Sword.fbx
A_Attack_HeavyCombo01A_ReturnToIdle_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/HeavyCombo01/A_Attack_HeavyCombo01A_ReturnToIdle_Sword.fbx
A_Attack_HeavyCombo01A_Sword.fbx,sword_attack,FALSE,FALSE,,Sword Combat Source Files/Animations/Attack/HeavyCombo01/A_Attack_HeavyCombo01A_Sword.fbx
A_Attack_HeavyCombo01A_RootMotion_Sword.fbx,sword_attack,FALSE,TRUE,,Sword Combat Source Files/Animations/Attack/HeavyCombo01/A_Attack_HeavyCombo01A_RootMotion_Sword.fbx
A_Stun_Begin_Sword.fbx,sword_hit,FALSE,FALSE,,Sword Combat Source Files/Animations/Hit/Stun/A_Stun_Begin_Sword.fbx
A_Stun_End_Sword.fbx,sword_hit,FALSE,FALSE,,Sword Combat Source Files/Animations/Hit/Stun/A_Stun_End_Sword.fbx
A_Stun_Loop_Sword.fbx,sword_hit,TRUE,FALSE,,Sword Combat Source Files/Animations/Hit/Stun/A_Stun_Loop_Sword.fbx
A_KnockDown_Begin_Sword.fbx,sword_hit,FALSE,FALSE,,Sword Combat Source Files/Animations/Hit/KnockDown/A_KnockDown_Begin_Sword.fbx
A_KnockDown_Begin_RootMotion_Sword.fbx,sword_hit,FALSE,TRUE,,Sword Combat Source Files/Animations/Hit/KnockDown/A_KnockDown_Begin_RootMotion_Sword.fbx
A_KnockDown_Loop_Sword.fbx,sword_hit,TRUE,FALSE,,Sword Combat Source Files/Animations/Hit/KnockDown/A_KnockDown_Loop_Sword.fbx
A_KnockDown_End_Sword.fbx,sword_hit,FALSE,FALSE,,Sword Combat Source Files/Animations/Hit/KnockDown/A_KnockDown_End_Sword.fbx
A_Hit_F_React_Sword.fbx,sword_hit,FALSE,FALSE,,Sword Combat Source Files/Animations/Hit/HitReact/A_Hit_F_React_Sword.fbx
A_Hit_R_React_Sword.fbx,sword_hit,FALSE,FALSE,,Sword Combat Source Files/Animations/Hit/HitReact/A_Hit_R_React_Sword.fbx
A_Hit_B_React_Sword.fbx,sword_hit,FALSE,FALSE,,Sword Combat Source Files/Animations/Hit/HitReact/A_Hit_B_React_Sword.fbx
A_Hit_L_React_Sword.fbx,sword_hit,FALSE,FALSE,,Sword Combat Source Files/Animations/Hit/HitReact/A_Hit_L_React_Sword.fbx
A_Hit_L_Stagger_Sword.fbx,sword_hit,FALSE,FALSE,,Sword Combat Source Files/Animations/Hit/HitStagger/A_Hit_L_Stagger_Sword.fbx
A_Hit_R_Stagger_Sword.fbx,sword_hit,FALSE,FALSE,,Sword Combat Source Files/Animations/Hit/HitStagger/A_Hit_R_Stagger_Sword.fbx
A_Hit_L_Stagger_RootMotion_Sword.fbx,sword_hit,FALSE,TRUE,,Sword Combat Source Files/Animations/Hit/HitStagger/A_Hit_L_Stagger_RootMotion_Sword.fbx
A_Hit_B_Stagger_RootMotion_Sword.fbx,sword_hit,FALSE,TRUE,,Sword Combat Source Files/Animations/Hit/HitStagger/A_Hit_B_Stagger_RootMotion_Sword.fbx
A_Hit_F_Stagger_Sword.fbx,sword_hit,FALSE,FALSE,,Sword Combat Source Files/Animations/Hit/HitStagger/A_Hit_F_Stagger_Sword.fbx
A_Hit_B_Stagger_Sword.fbx,sword_hit,FALSE,FALSE,,Sword Combat Source Files/Animations/Hit/HitStagger/A_Hit_B_Stagger_Sword.fbx
A_Hit_F_Stagger_RootMotion_Sword.fbx,sword_hit,FALSE,TRUE,,Sword Combat Source Files/Animations/Hit/HitStagger/A_Hit_F_Stagger_RootMotion_Sword.fbx
A_Hit_R_Stagger_RootMotion_Sword.fbx,sword_hit,FALSE,TRUE,,Sword Combat Source Files/Animations/Hit/HitStagger/A_Hit_R_Stagger_RootMotion_Sword.fbx
A_Death_R_01_Pose_Sword.fbx,sword_death,FALSE,FALSE,,Sword Combat Source Files/Animations/Death/A_Death_R_01_Pose_Sword.fbx
A_Death_L_01_Sword.fbx,sword_death,FALSE,FALSE,,Sword Combat Source Files/Animations/Death/A_Death_L_01_Sword.fbx
A_Death_L_01_Pose_Sword.fbx,sword_death,FALSE,FALSE,,Sword Combat Source Files/Animations/Death/A_Death_L_01_Pose_Sword.fbx
A_Death_R_01_Sword.fbx,sword_death,FALSE,FALSE,,Sword Combat Source Files/Animations/Death/A_Death_R_01_Sword.fbx
A_Death_F_01_Sword.fbx,sword_death,FALSE,FALSE,,Sword Combat Source Files/Animations/Death/A_Death_F_01_Sword.fbx
A_Death_F_01_Pose_Sword.fbx,sword_death,FALSE,FALSE,,Sword Combat Source Files/Animations/Death/A_Death_F_01_Pose_Sword.fbx
A_Death_B_01_Pose_Sword.fbx,sword_death,FALSE,FALSE,,Sword Combat Source Files/Animations/Death/A_Death_B_01_Pose_Sword.fbx
A_Death_B_01_Sword.fbx,sword_death,FALSE,FALSE,,Sword Combat Source Files/Animations/Death/A_Death_B_01_Sword.fbx
A_Dodge_F_Sword.fbx,sword_dodge,FALSE,FALSE,,Sword Combat Source Files/Animations/Dodge/A_Dodge_F_Sword.fbx
A_Dodge_B_RootMotion_Sword.fbx,sword_dodge,FALSE,TRUE,,Sword Combat Source Files/Animations/Dodge/A_Dodge_B_RootMotion_Sword.fbx
A_DodgeRoll_B_Sword.fbx,sword_dodge,FALSE,FALSE,,Sword Combat Source Files/Animations/Dodge/A_DodgeRoll_B_Sword.fbx
A_Dodge_R_RootMotion_Sword.fbx,sword_dodge,FALSE,TRUE,,Sword Combat Source Files/Animations/Dodge/A_Dodge_R_RootMotion_Sword.fbx
A_Dodge_R_Sword.fbx,sword_dodge,FALSE,FALSE,,Sword Combat Source Files/Animations/Dodge/A_Dodge_R_Sword.fbx
A_Dodge_L_Sword.fbx,sword_dodge,FALSE,FALSE,,Sword Combat Source Files/Animations/Dodge/A_Dodge_L_Sword.fbx
A_Dodge_L_RootMotion_Sword.fbx,sword_dodge,FALSE,TRUE,,Sword Combat Source Files/Animations/Dodge/A_Dodge_L_RootMotion_Sword.fbx
A_Dodge_F_RootMotion_Sword.fbx,sword_dodge,FALSE,TRUE,,Sword Combat Source Files/Animations/Dodge/A_Dodge_F_RootMotion_Sword.fbx
A_DodgeRoll_L_RootMotion_Sword.fbx,sword_dodge,FALSE,TRUE,,Sword Combat Source Files/Animations/Dodge/A_DodgeRoll_L_RootMotion_Sword.fbx
A_DodgeRoll_L_Sword.fbx,sword_dodge,FALSE,FALSE,,Sword Combat Source Files/Animations/Dodge/A_DodgeRoll_L_Sword.fbx
A_DodgeRoll_F_RootMotion_Sword.fbx,sword_dodge,FALSE,TRUE,,Sword Combat Source Files/Animations/Dodge/A_DodgeRoll_F_RootMotion_Sword.fbx
A_DodgeRoll_R_Sword.fbx,sword_dodge,FALSE,FALSE,,Sword Combat Source Files/Animations/Dodge/A_DodgeRoll_R_Sword.fbx
A_DodgeRoll_R_RootMotion_Sword.fbx,sword_dodge,FALSE,TRUE,,Sword Combat Source Files/Animations/Dodge/A_DodgeRoll_R_RootMotion_Sword.fbx
A_Dodge_B_Sword.fbx,sword_dodge,FALSE,FALSE,,Sword Combat Source Files/Animations/Dodge/A_Dodge_B_Sword.fbx
A_DodgeRoll_B_RootMotion_Sword.fbx,sword_dodge,FALSE,TRUE,,Sword Combat Source Files/Animations/Dodge/A_DodgeRoll_B_RootMotion_Sword.fbx
A_DodgeRoll_F_Sword.fbx,sword_dodge,FALSE,FALSE,,Sword Combat Source Files/Animations/Dodge/A_DodgeRoll_F_Sword.fbx
A_Parry_L_Sword.fbx,sword_block,FALSE,FALSE,,Sword Combat Source Files/Animations/Block/A_Parry_L_Sword.fbx
A_Parry_R_Sword.fbx,sword_block,FALSE,FALSE,,Sword Combat Source Files/Animations/Block/A_Parry_R_Sword.fbx
A_Parry_Break_Sword.fbx,sword_block,FALSE,FALSE,,Sword Combat Source Files/Animations/Block/A_Parry_Break_Sword.fbx
A_Parry_F_ReturnToBlock_Sword.fbx,sword_block,FALSE,FALSE,,Sword Combat Source Files/Animations/Block/A_Parry_F_ReturnToBlock_Sword.fbx
A_Parry_F_CounterShove_RootMotion_Sword.fbx,sword_block,FALSE,TRUE,,Sword Combat Source Files/Animations/Block/A_Parry_F_CounterShove_RootMotion_Sword.fbx
A_Parry_Break_RootMotion_Sword.fbx,sword_block,FALSE,TRUE,,Sword Combat Source Files/Animations/Block/A_Parry_Break_RootMotion_Sword.fbx
A_Parry_F_Sword.fbx,sword_block,FALSE,FALSE,,Sword Combat Source Files/Animations/Block/A_Parry_F_Sword.fbx
A_Block_Begin_Sword.fbx,sword_block,FALSE,FALSE,,Sword Combat Source Files/Animations/Block/A_Block_Begin_Sword.fbx
A_Block_End_Sword.fbx,sword_block,FALSE,FALSE,,Sword Combat Source Files/Animations/Block/A_Block_End_Sword.fbx
A_Parry_F_CounterShove_Sword.fbx,sword_block,FALSE,FALSE,,Sword Combat Source Files/Animations/Block/A_Parry_F_CounterShove_Sword.fbx
A_Block_Loop_Sword.fbx,sword_block,TRUE,FALSE,,Sword Combat Source Files/Animations/Block/A_Block_Loop_Sword.fbx
A_Parry_F_PommelStrike_Sword.fbx,sword_block,FALSE,FALSE,,Sword Combat Source Files/Animations/Block/A_Parry_F_PommelStrike_Sword.fbx
A_Parry_F_PommelStrike_RootMotion_Sword.fbx,sword_block,FALSE,TRUE,,Sword Combat Source Files/Animations/Block/A_Parry_F_PommelStrike_RootMotion_Sword.fbx
A_MOD_BL_Run_ToIdle_RFoot_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Run_ToIdle/A_MOD_BL_Run_ToIdle_RFoot_RM_Femn.fbx
A_MOD_BL_Run_ToIdle_LFoot_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Run_ToIdle/A_MOD_BL_Run_ToIdle_LFoot_RM_Femn.fbx
A_MOD_BL_Run_ToIdle_LFoot_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Run_ToIdle/A_MOD_BL_Run_ToIdle_LFoot_Femn.fbx
A_MOD_BL_Run_ToIdle_RFoot_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Run_ToIdle/A_MOD_BL_Run_ToIdle_RFoot_Femn.fbx
A_MOD_BL_Walk_ToIdleF_LFoot_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Walk_ToIdle/A_MOD_BL_Walk_ToIdleF_LFoot_RM_Femn.fbx
A_MOD_BL_Walk_ToIdleF_RFoot_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Walk_ToIdle/A_MOD_BL_Walk_ToIdleF_RFoot_Femn.fbx
A_MOD_BL_Walk_ToIdleF_LFoot_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Walk_ToIdle/A_MOD_BL_Walk_ToIdleF_LFoot_Femn.fbx
A_MOD_BL_Walk_ToIdleF_RFoot_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Walk_ToIdle/A_MOD_BL_Walk_ToIdleF_RFoot_RM_Femn.fbx
A_MOD_BL_Idle_ToWalk_90R_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToWalk/A_MOD_BL_Idle_ToWalk_90R_Femn.fbx
A_MOD_BL_Idle_ToWalk_F_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToWalk/A_MOD_BL_Idle_ToWalk_F_Femn.fbx
A_MOD_BL_Idle_ToWalk_90R_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToWalk/A_MOD_BL_Idle_ToWalk_90R_RM_Femn.fbx
A_MOD_BL_Idle_ToWalk_90L_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToWalk/A_MOD_BL_Idle_ToWalk_90L_Femn.fbx
A_MOD_BL_Idle_ToWalk_180L_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToWalk/A_MOD_BL_Idle_ToWalk_180L_RM_Femn.fbx
A_MOD_BL_Idle_ToWalk_F_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToWalk/A_MOD_BL_Idle_ToWalk_F_RM_Femn.fbx
A_MOD_BL_Idle_ToWalk_90L_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToWalk/A_MOD_BL_Idle_ToWalk_90L_RM_Femn.fbx
A_MOD_BL_Idle_ToWalk_180L_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToWalk/A_MOD_BL_Idle_ToWalk_180L_Femn.fbx
A_MOD_BL_Idle_ToWalk_180R_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToWalk/A_MOD_BL_Idle_ToWalk_180R_RM_Femn.fbx
A_MOD_BL_Idle_ToWalk_180R_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToWalk/A_MOD_BL_Idle_ToWalk_180R_Femn.fbx
A_MOD_BL_Stand_ToCrouch_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Stand_ToCrouch/A_MOD_BL_Stand_ToCrouch_Femn.fbx
A_MOD_BL_Crouch_ToStand_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Crouch_ToStand/A_MOD_BL_Crouch_ToStand_Femn.fbx
A_MOD_BL_Idle_ToRun_180L_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToRun/A_MOD_BL_Idle_ToRun_180L_Femn.fbx
A_MOD_BL_Idle_ToRun_180R_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToRun/A_MOD_BL_Idle_ToRun_180R_Femn.fbx
A_MOD_BL_Idle_ToRun_90R_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToRun/A_MOD_BL_Idle_ToRun_90R_RM_Femn.fbx
A_MOD_BL_Idle_ToRun_90R_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToRun/A_MOD_BL_Idle_ToRun_90R_Femn.fbx
A_MOD_BL_Idle_ToRun_180L_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToRun/A_MOD_BL_Idle_ToRun_180L_RM_Femn.fbx
A_MOD_BL_Idle_ToRun_F_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToRun/A_MOD_BL_Idle_ToRun_F_RM_Femn.fbx
A_MOD_BL_Idle_ToRun_90L_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToRun/A_MOD_BL_Idle_ToRun_90L_Femn.fbx
A_MOD_BL_Idle_ToRun_90L_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToRun/A_MOD_BL_Idle_ToRun_90L_RM_Femn.fbx
A_MOD_BL_Idle_ToRun_F_Femn.fbx,loco_sidekick_fem_transition,FALSE,FALSE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToRun/A_MOD_BL_Idle_ToRun_F_Femn.fbx
A_MOD_BL_Idle_ToRun_180R_RM_Femn.fbx,loco_sidekick_fem_transition,FALSE,TRUE,,Base Locomotion Source Files/Animations/Sidekick/Feminine/Transition/Idle_ToRun/A_MOD_BL_Idle_ToRun_180R_RM_Femn.fbx
